,District,Pincode,No of Registered User,Year,state,Quater
262,belagavi,0,194698,2018,karnataka,Q2
263,dharwad,0,144884,2018,karnataka,Q2
264,ballari,0,140995,2018,karnataka,Q2
265,bengaluru rural,0,121048,2018,karnataka,Q2
266,dakshina kannada,0,118271,2018,karnataka,Q2
267,tumakuru,0,116855,2018,karnataka,Q2
268,kalaburagi,0,113205,2018,karnataka,Q2
269,vijayapura,0,95448,2018,karnataka,Q2
270,null,560068,128921,2018,karnataka,Q2
271,null,560037,93771,2018,karnataka,Q2
272,null,560076,84767,2018,karnataka,Q2
273,null,560078,81415,2018,karnataka,Q2
274,null,560100,80283,2018,karnataka,Q2
275,null,560043,64104,2018,karnataka,Q2
276,null,560066,59501,2018,karnataka,Q2
277,null,560058,58732,2018,karnataka,Q2
278,null,560064,56605,2018,karnataka,Q2
279,null,560103,54689,2018,karnataka,Q2
280,bengaluru urban,0,3167597,2018,karnataka,Q3
281,mysuru,0,262075,2018,karnataka,Q3
282,belagavi,0,252307,2018,karnataka,Q3
283,dharwad,0,181324,2018,karnataka,Q3
284,ballari,0,177311,2018,karnataka,Q3
285,bengaluru rural,0,156268,2018,karnataka,Q3
286,tumakuru,0,154217,2018,karnataka,Q3
287,dakshina kannada,0,153231,2018,karnataka,Q3
288,kalaburagi,0,145495,2018,karnataka,Q3
289,vijayapura,0,124561,2018,karnataka,Q3
290,null,560068,158659,2018,karnataka,Q3
291,null,560037,112074,2018,karnataka,Q3
292,null,560076,103108,2018,karnataka,Q3
293,null,560078,100291,2018,karnataka,Q3
294,null,560100,98779,2018,karnataka,Q3
295,null,560043,78779,2018,karnataka,Q3
296,null,560058,74965,2018,karnataka,Q3
297,null,560066,72460,2018,karnataka,Q3
298,null,560064,70258,2018,karnataka,Q3
299,null,560091,69754,2018,karnataka,Q3
300,bengaluru urban,0,4126734,2018,karnataka,Q4
301,mysuru,0,341636,2018,karnataka,Q4
302,belagavi,0,328102,2018,karnataka,Q4
303,dharwad,0,230679,2018,karnataka,Q4
