,District,Type,Count,Amount,Year,state,Quater
165,kodagu district,TOTAL,132175,255164153.17943642,2019,karnataka,Q1
166,chikkamagaluru district,TOTAL,269535,513170969.25567997,2019,karnataka,Q1
167,haveri district,TOTAL,296805,510705701.535235,2019,karnataka,Q1
168,ballari district,TOTAL,1396502,2244647823.113589,2019,karnataka,Q1
169,belagavi district,TOTAL,1476221,2143704811.908953,2019,karnataka,Q1
170,kolar district,TOTAL,1051914,1634035507.1281617,2019,karnataka,Q1
171,uttara kannada district,TOTAL,401079,582803226.86871,2019,karnataka,Q1
172,tumakuru district,TOTAL,926600,1788430415.4750216,2019,karnataka,Q1
173,yadgir district,TOTAL,214448,529691468.640022,2019,karnataka,Q1
174,bengaluru urban district,TOTAL,65174133,82111161572.76288,2019,karnataka,Q1
175,chikkaballapura district,TOTAL,668044,1181327350.8270614,2019,karnataka,Q1
176,davanagere district,TOTAL,678678,1235312216.171686,2019,karnataka,Q1
177,bagalkote district,TOTAL,765236,970277390.0547762,2019,karnataka,Q1
178,vijayapura district,TOTAL,696701,1265405752.316557,2019,karnataka,Q1
179,koppal district,TOTAL,355401,648740849.0448687,2019,karnataka,Q1
180,bidar district,TOTAL,617247,1239943431.4717097,2019,karnataka,Q1
181,bengaluru rural district,TOTAL,1707501,2607054374.084066,2019,karnataka,Q1
182,raichur district,TOTAL,610473,1244470857.745585,2019,karnataka,Q1
183,chamarajanagara district,TOTAL,177125,307486834.4398674,2019,karnataka,Q1
184,dakshina kannada district,TOTAL,1086942,1721495724.0678744,2019,karnataka,Q1
185,hassan district,TOTAL,551975,1125284006.1181178,2019,karnataka,Q1
186,dharwad district,TOTAL,1312093,1848626654.9759147,2019,karnataka,Q1
187,shivamogga district,TOTAL,551200,993459723.8128774,2019,karnataka,Q1
188,udupi district,TOTAL,493365,708575940.0412929,2019,karnataka,Q1
189,gadag district,TOTAL,326563,453398821.97652453,2019,karnataka,Q1
190,mysuru district,TOTAL,2641497,4532575333.011817,2019,karnataka,Q2
191,chitradurga district,TOTAL,508856,1107532510.9053113,2019,karnataka,Q2
192,kalaburagi district,TOTAL,826121,1904197997.7828102,2019,karnataka,Q2
193,ramanagara district,TOTAL,988447,1917887093.7086911,2019,karnataka,Q2
194,mandya district,TOTAL,785153,1675365826.7313943,2019,karnataka,Q2
195,kodagu district,TOTAL,183333,347619659.43413806,2019,karnataka,Q2
196,chikkamagaluru district,TOTAL,348482,700499292.0221097,2019,karnataka,Q2
197,haveri district,TOTAL,326245,666468434.5274383,2019,karnataka,Q2
198,ballari district,TOTAL,1510968,3020731081.771243,2019,karnataka,Q2
199,belagavi district,TOTAL,1861710,3129078023.5608435,2019,karnataka,Q2
200,kolar district,TOTAL,1122326,2210613369.044175,2019,karnataka,Q2
201,uttara kannada district,TOTAL,433761,739399034.5004739,2019,karnataka,Q2
202,tumakuru district,TOTAL,1200397,2439881028.5137053,2019,karnataka,Q2
203,yadgir district,TOTAL,239850,676844338.0988811,2019,karnataka,Q2
204,bengaluru urban district,TOTAL,89148659,113389910485.89922,2019,karnataka,Q2
205,chikkaballapura district,TOTAL,794610,1630218604.708301,2019,karnataka,Q2
206,davanagere district,TOTAL,972408,1848844193.1551795,2019,karnataka,Q2
207,bagalkote district,TOTAL,704180,1285713396.8026183,2019,karnataka,Q2
208,vijayapura district,TOTAL,835718,1774819997.5978944,2019,karnataka,Q2
209,koppal district,TOTAL,417932,926600613.138814,2019,karnataka,Q2
210,bidar district,TOTAL,649994,1544703339.6695948,2019,karnataka,Q2
211,bengaluru rural district,TOTAL,1994507,3457051861.64153,2019,karnataka,Q2
212,raichur district,TOTAL,677977,1597335139.4970949,2019,karnataka,Q2
213,chamarajanagara district,TOTAL,209517,417237665.64096105,2019,karnataka,Q2
214,dakshina kannada district,TOTAL,1632538,2960907502.219463,2019,karnataka,Q2
215,hassan district,TOTAL,677980,1575389093.820531,2019,karnataka,Q2
216,dharwad district,TOTAL,2084046,3292543548.21006,2019,karnataka,Q2
217,shivamogga district,TOTAL,785673,1476458316.79241,2019,karnataka,Q2
218,udupi district,TOTAL,477100,795893292.4269867,2019,karnataka,Q2
219,gadag district,TOTAL,361619,659704151.2505269,2019,karnataka,Q2
220,mysuru district,TOTAL,4034380,5997469689.765679,2019,karnataka,Q3
221,chitradurga district,TOTAL,724826,1321757015.672064,2019,karnataka,Q3
222,kalaburagi district,TOTAL,1249186,2394791825.4026256,2019,karnataka,Q3
223,ramanagara district,TOTAL,1333468,2330296690.6610665,2019,karnataka,Q3
224,mandya district,TOTAL,1131938,2134315021.9709759,2019,karnataka,Q3
225,kodagu district,TOTAL,273544,422323264.2985822,2019,karnataka,Q3
226,chikkamagaluru district,TOTAL,519469,866421227.2573984,2019,karnataka,Q3
227,haveri district,TOTAL,446343,790256817.2883446,2019,karnataka,Q3
228,ballari district,TOTAL,2172340,3798926912.7760153,2019,karnataka,Q3
229,belagavi district,TOTAL,2722900,3771202585.888157,2019,karnataka,Q3
230,kolar district,TOTAL,1615545,2946242408.2718744,2019,karnataka,Q3
231,uttara kannada district,TOTAL,660223,937085015.2821138,2019,karnataka,Q3
232,tumakuru district,TOTAL,1878003,3158249577.001503,2019,karnataka,Q3
233,yadgir district,TOTAL,331943,777674785.0658498,2019,karnataka,Q3
234,bengaluru urban district,TOTAL,131234422,150244275641.79712,2019,karnataka,Q3
235,chikkaballapura district,TOTAL,1105172,2134493307.180094,2019,karnataka,Q3
236,davanagere district,TOTAL,1351913,2163728718.7321467,2019,karnataka,Q3
237,bagalkote district,TOTAL,959443,1524098889.2266183,2019,karnataka,Q3
238,vijayapura district,TOTAL,1199591,2163978249.4202127,2019,karnataka,Q3
239,koppal district,TOTAL,579391,1109392478.0717268,2019,karnataka,Q3
240,bidar district,TOTAL,929774,1874680074.4677765,2019,karnataka,Q3
241,bengaluru rural district,TOTAL,3070784,4619041821.916124,2019,karnataka,Q3
242,raichur district,TOTAL,983058,1951946628.5438323,2019,karnataka,Q3
243,chamarajanagara district,TOTAL,290920,522262756.8100619,2019,karnataka,Q3
