,District name,No of Registered User,AppOpens,Year,State Name,Quater
235,chikkaballapura district,191086,5085160,2019,karnataka,Q3
236,davanagere district,259239,5292577,2019,karnataka,Q3
237,bagalkote district,227893,4396253,2019,karnataka,Q3
238,vijayapura district,272575,5507794,2019,karnataka,Q3
239,koppal district,140202,2868241,2019,karnataka,Q3
240,bidar district,211382,4744766,2019,karnataka,Q3
241,bengaluru rural district,361924,12165553,2019,karnataka,Q3
242,raichur district,219963,4884784,2019,karnataka,Q3
243,chamarajanagara district,83829,1556076,2019,karnataka,Q3
244,dakshina kannada district,363240,5760451,2019,karnataka,Q3
245,hassan district,239587,4197871,2019,karnataka,Q3
246,dharwad district,397243,10736033,2019,karnataka,Q3
247,shivamogga district,246474,4354833,2019,karnataka,Q3
248,udupi district,191625,2732005,2019,karnataka,Q3
249,gadag district,112854,2198909,2019,karnataka,Q3
250,mysuru district,686169,20282620,2019,karnataka,Q4
251,chitradurga district,204763,4761975,2019,karnataka,Q4
252,kalaburagi district,355228,8600804,2019,karnataka,Q4
253,ramanagara district,238556,7996637,2019,karnataka,Q4
254,mandya district,272705,7321773,2019,karnataka,Q4
255,kodagu district,86496,1676527,2019,karnataka,Q4
256,chikkamagaluru district,164190,3246391,2019,karnataka,Q4
257,haveri district,160702,3069637,2019,karnataka,Q4
258,ballari district,429391,13342591,2019,karnataka,Q4
259,belagavi district,656749,14298924,2019,karnataka,Q4
260,kolar district,321279,9946553,2019,karnataka,Q4
261,uttara kannada district,202180,3454632,2019,karnataka,Q4
262,tumakuru district,428605,11843986,2019,karnataka,Q4
263,yadgir district,105445,2422884,2019,karnataka,Q4
264,bengaluru urban district,7016836,353757216,2019,karnataka,Q4
265,chikkaballapura district,221609,6890491,2019,karnataka,Q4
266,davanagere district,298755,7287464,2019,karnataka,Q4
267,bagalkote district,260054,5878530,2019,karnataka,Q4
268,vijayapura district,314097,7480611,2019,karnataka,Q4
269,koppal district,162861,3948062,2019,karnataka,Q4
270,bidar district,243303,6709326,2019,karnataka,Q4
271,bengaluru rural district,411896,16114910,2019,karnataka,Q4
272,raichur district,253236,6892107,2019,karnataka,Q4
273,chamarajanagara district,98140,2069842,2019,karnataka,Q4
274,dakshina kannada district,423031,7875886,2019,karnataka,Q4
275,hassan district,279728,5917518,2019,karnataka,Q4
276,dharwad district,452178,13718357,2019,karnataka,Q4
277,shivamogga district,286945,6123526,2019,karnataka,Q4
278,udupi district,220313,3719466,2019,karnataka,Q4
279,gadag district,129976,3025624,2019,karnataka,Q4
280,mysuru district,764697,23157562,2020,karnataka,Q1
281,chitradurga district,233840,6183299,2020,karnataka,Q1
282,kalaburagi district,402676,10731948,2020,karnataka,Q1
283,ramanagara district,267981,9733240,2020,karnataka,Q1
284,mandya district,309136,9387333,2020,karnataka,Q1
285,kodagu district,98612,1929841,2020,karnataka,Q1
286,chikkamagaluru district,186487,3874339,2020,karnataka,Q1
287,haveri district,184781,3960695,2020,karnataka,Q1
288,ballari district,481004,16047162,2020,karnataka,Q1
289,belagavi district,746925,17121517,2020,karnataka,Q1
290,kolar district,361750,12303181,2020,karnataka,Q1
291,uttara kannada district,226792,4118524,2020,karnataka,Q1
292,tumakuru district,488995,14944882,2020,karnataka,Q1
293,yadgir district,121589,3264873,2020,karnataka,Q1
294,bengaluru urban district,7564577,365358412,2020,karnataka,Q1
295,chikkaballapura district,250163,8606320,2020,karnataka,Q1
296,davanagere district,337445,8693016,2020,karnataka,Q1
297,bagalkote district,293935,7199781,2020,karnataka,Q1
298,vijayapura district,357428,9313061,2020,karnataka,Q1
299,koppal district,185866,5100820,2020,karnataka,Q1
300,bidar district,275072,8639094,2020,karnataka,Q1
301,bengaluru rural district,455608,18109090,2020,karnataka,Q1
302,raichur district,285797,8561095,2020,karnataka,Q1
303,chamarajanagara district,112400,2677247,2020,karnataka,Q1
304,dakshina kannada district,481992,9167438,2020,karnataka,Q1
305,hassan district,318850,7555719,2020,karnataka,Q1
306,dharwad district,502446,15318060,2020,karnataka,Q1
307,shivamogga district,324957,7363924,2020,karnataka,Q1
308,udupi district,247646,4331891,2020,karnataka,Q1
309,gadag district,147533,3734672,2020,karnataka,Q1
310,mysuru district,837003,18069895,2020,karnataka,Q2
311,chitradurga district,267374,7921698,2020,karnataka,Q2
312,kalaburagi district,455786,12273057,2020,karnataka,Q2
313,ramanagara district,297300,9630491,2020,karnataka,Q2
314,mandya district,346777,10682341,2020,karnataka,Q2
315,kodagu district,112121,2083487,2020,karnataka,Q2
316,chikkamagaluru district,211842,4688043,2020,karnataka,Q2
317,haveri district,212822,4828428,2020,karnataka,Q2
318,ballari district,537204,16857518,2020,karnataka,Q2
319,belagavi district,849149,18286088,2020,karnataka,Q2
320,kolar district,404048,13758597,2020,karnataka,Q2
321,uttara kannada district,257257,4832970,2020,karnataka,Q2
322,tumakuru district,552123,16600911,2020,karnataka,Q2
323,yadgir district,140500,4149274,2020,karnataka,Q2
324,bengaluru urban district,8028070,217406465,2020,karnataka,Q2
325,chikkaballapura district,280849,9635695,2020,karnataka,Q2
326,davanagere district,380810,9219076,2020,karnataka,Q2
327,bagalkote district,334436,8204201,2020,karnataka,Q2
328,vijayapura district,407483,10678723,2020,karnataka,Q2
329,koppal district,212354,6151219,2020,karnataka,Q2
330,bidar district,312859,11031911,2020,karnataka,Q2
331,bengaluru rural district,496292,14889541,2020,karnataka,Q2
332,raichur district,321809,9717951,2020,karnataka,Q2
333,chamarajanagara district,128971,3414811,2020,karnataka,Q2
334,dakshina kannada district,543603,7580908,2020,karnataka,Q2
335,hassan district,361759,9097572,2020,karnataka,Q2
336,dharwad district,554235,12377558,2020,karnataka,Q2
337,shivamogga district,365651,7734883,2020,karnataka,Q2
338,udupi district,277972,4383464,2020,karnataka,Q2
339,gadag district,166907,4323299,2020,karnataka,Q2
340,mysuru district,923296,26595871,2020,karnataka,Q3
341,chitradurga district,300719,10159890,2020,karnataka,Q3
342,kalaburagi district,507894,16580065,2020,karnataka,Q3
343,ramanagara district,329112,12931411,2020,karnataka,Q3
344,mandya district,386051,13267940,2020,karnataka,Q3
345,kodagu district,127160,2791774,2020,karnataka,Q3
346,chikkamagaluru district,240177,6269375,2020,karnataka,Q3
347,haveri district,243591,6367113,2020,karnataka,Q3
348,ballari district,595935,23172796,2020,karnataka,Q3
349,belagavi district,951629,24325882,2020,karnataka,Q3
350,kolar district,449470,18721704,2020,karnataka,Q3
351,uttara kannada district,287730,6238135,2020,karnataka,Q3
352,tumakuru district,618091,21713087,2020,karnataka,Q3
353,yadgir district,157834,5211314,2020,karnataka,Q3
354,bengaluru urban district,8611452,322860571,2020,karnataka,Q3
355,chikkaballapura district,313480,13001841,2020,karnataka,Q3
356,davanagere district,426961,12583087,2020,karnataka,Q3
357,bagalkote district,376754,11151542,2020,karnataka,Q3
358,vijayapura district,458119,14492659,2020,karnataka,Q3
359,koppal district,239771,8347850,2020,karnataka,Q3
360,bidar district,347354,13891230,2020,karnataka,Q3
361,bengaluru rural district,543893,22521395,2020,karnataka,Q3
362,raichur district,357794,13008515,2020,karnataka,Q3
363,chamarajanagara district,145166,4038938,2020,karnataka,Q3
364,dakshina kannada district,617552,11393774,2020,karnataka,Q3
365,hassan district,407970,11515402,2020,karnataka,Q3
366,dharwad district,608659,17999599,2020,karnataka,Q3
367,shivamogga district,411810,10667405,2020,karnataka,Q3
368,udupi district,314731,6056848,2020,karnataka,Q3
369,gadag district,187395,5806199,2020,karnataka,Q3
370,mysuru district,1015945,36538089,2020,karnataka,Q4
371,chitradurga district,333450,12510031,2020,karnataka,Q4
372,kalaburagi district,559718,21222389,2020,karnataka,Q4
373,ramanagara district,361201,16517041,2020,karnataka,Q4
374,mandya district,425378,16160451,2020,karnataka,Q4
375,kodagu district,141874,3987098,2020,karnataka,Q4
376,chikkamagaluru district,268100,8071176,2020,karnataka,Q4
377,haveri district,271755,8140283,2020,karnataka,Q4
378,ballari district,654751,30046637,2020,karnataka,Q4
379,belagavi district,1051934,31134675,2020,karnataka,Q4
380,kolar district,495224,23730229,2020,karnataka,Q4
381,uttara kannada district,318811,8207702,2020,karnataka,Q4
382,tumakuru district,682441,27104012,2020,karnataka,Q4
383,yadgir district,174982,6596547,2020,karnataka,Q4
384,bengaluru urban district,9286243,456667561,2020,karnataka,Q4
385,chikkaballapura district,345355,15886888,2020,karnataka,Q4
386,davanagere district,471813,16184025,2020,karnataka,Q4
387,bagalkote district,415594,14221516,2020,karnataka,Q4
388,vijayapura district,504403,17980063,2020,karnataka,Q4
389,koppal district,266212,10887251,2020,karnataka,Q4
390,bidar district,381843,17145651,2020,karnataka,Q4
391,bengaluru rural district,593872,30396643,2020,karnataka,Q4
392,raichur district,393385,16304518,2020,karnataka,Q4
393,chamarajanagara district,161907,5235691,2020,karnataka,Q4
394,dakshina kannada district,690826,16059638,2020,karnataka,Q4
395,hassan district,453802,14765001,2020,karnataka,Q4
396,dharwad district,663973,24402584,2020,karnataka,Q4
397,shivamogga district,455648,13529152,2020,karnataka,Q4
398,udupi district,352464,8435951,2020,karnataka,Q4
399,gadag district,207278,7442197,2020,karnataka,Q4
400,mysuru district,1094627,42998885,2021,karnataka,Q1
401,chitradurga district,359774,13146825,2021,karnataka,Q1
402,kalaburagi district,602937,24147877,2021,karnataka,Q1
403,ramanagara district,389219,18160635,2021,karnataka,Q1
404,mandya district,458538,17976756,2021,karnataka,Q1
405,kodagu district,153053,4337845,2021,karnataka,Q1
406,chikkamagaluru district,289630,8631829,2021,karnataka,Q1
407,haveri district,293899,8803231,2021,karnataka,Q1
408,ballari district,705364,32592485,2021,karnataka,Q1
409,belagavi district,1132987,34752351,2021,karnataka,Q1
410,kolar district,534157,25549286,2021,karnataka,Q1
411,uttara kannada district,343355,9070620,2021,karnataka,Q1
412,tumakuru district,736609,30118851,2021,karnataka,Q1
413,yadgir district,189271,7214734,2021,karnataka,Q1
414,bengaluru urban district,9955387,554419656,2021,karnataka,Q1
415,chikkaballapura district,372241,17087913,2021,karnataka,Q1
416,davanagere district,508179,17621765,2021,karnataka,Q1
417,bagalkote district,447765,15053079,2021,karnataka,Q1
418,vijayapura district,543181,19138250,2021,karnataka,Q1
419,koppal district,287597,11497598,2021,karnataka,Q1
420,bidar district,411728,19569082,2021,karnataka,Q1
421,bengaluru rural district,639890,34184669,2021,karnataka,Q1
422,raichur district,424252,17480505,2021,karnataka,Q1
423,chamarajanagara district,174952,5520986,2021,karnataka,Q1
424,dakshina kannada district,746964,18655914,2021,karnataka,Q1
425,hassan district,490609,16390159,2021,karnataka,Q1
426,dharwad district,714056,28863170,2021,karnataka,Q1
427,shivamogga district,491220,14935102,2021,karnataka,Q1
428,udupi district,380553,9126747,2021,karnataka,Q1
429,gadag district,223838,7870580,2021,karnataka,Q1
430,mysuru district,1168608,36371793,2021,karnataka,Q2
431,chitradurga district,386380,29255441,2021,karnataka,Q2
432,kalaburagi district,645639,42069112,2021,karnataka,Q2
433,ramanagara district,416739,23827957,2021,karnataka,Q2
434,mandya district,491102,25908721,2021,karnataka,Q2
435,kodagu district,163742,8488815,2021,karnataka,Q2
436,chikkamagaluru district,311052,17822948,2021,karnataka,Q2
437,haveri district,315491,16739886,2021,karnataka,Q2
438,ballari district,755860,41859992,2021,karnataka,Q2
439,belagavi district,1213293,44624929,2021,karnataka,Q2
440,kolar district,571929,30373692,2021,karnataka,Q2
441,uttara kannada district,367399,16680175,2021,karnataka,Q2
442,tumakuru district,790148,50740889,2021,karnataka,Q2
443,yadgir district,203336,16112341,2021,karnataka,Q2
444,bengaluru urban district,10604609,300938617,2021,karnataka,Q2
445,chikkaballapura district,399185,25947736,2021,karnataka,Q2
446,davanagere district,543821,25570785,2021,karnataka,Q2
447,bagalkote district,479927,22075518,2021,karnataka,Q2
448,vijayapura district,582278,34636839,2021,karnataka,Q2
449,koppal district,308936,21252031,2021,karnataka,Q2
450,bidar district,441065,31639098,2021,karnataka,Q2
451,bengaluru rural district,684759,26632282,2021,karnataka,Q2
452,raichur district,455771,29994576,2021,karnataka,Q2
453,chamarajanagara district,187469,12338325,2021,karnataka,Q2
454,dakshina kannada district,798331,15802873,2021,karnataka,Q2
455,hassan district,526240,28769195,2021,karnataka,Q2
456,dharwad district,763441,25161458,2021,karnataka,Q2
457,shivamogga district,526831,23646109,2021,karnataka,Q2
458,udupi district,407264,11064393,2021,karnataka,Q2
459,gadag district,240378,14743188,2021,karnataka,Q2
460,mysuru district,1250860,48272120,2021,karnataka,Q3
461,chitradurga district,417163,36001947,2021,karnataka,Q3
462,kalaburagi district,694567,50256674,2021,karnataka,Q3
463,ramanagara district,448065,29062035,2021,karnataka,Q3
464,mandya district,528361,29967986,2021,karnataka,Q3
465,kodagu district,175878,11030231,2021,karnataka,Q3
466,chikkamagaluru district,335416,23262222,2021,karnataka,Q3
467,haveri district,340458,21691814,2021,karnataka,Q3
468,ballari district,814170,54246591,2021,karnataka,Q3
469,belagavi district,1304051,58354498,2021,karnataka,Q3
470,kolar district,615004,37214686,2021,karnataka,Q3
471,uttara kannada district,395160,21489269,2021,karnataka,Q3
472,tumakuru district,850678,59870049,2021,karnataka,Q3
473,yadgir district,220170,19673784,2021,karnataka,Q3
474,bengaluru urban district,11321012,423965215,2021,karnataka,Q3
475,chikkaballapura district,429845,31188426,2021,karnataka,Q3
476,davanagere district,584571,32345530,2021,karnataka,Q3
477,bagalkote district,517079,28300711,2021,karnataka,Q3
478,vijayapura district,627795,43855268,2021,karnataka,Q3
479,koppal district,333722,27282817,2021,karnataka,Q3
480,bidar district,475158,37639565,2021,karnataka,Q3
481,bengaluru rural district,735551,35599266,2021,karnataka,Q3
482,raichur district,492375,38619508,2021,karnataka,Q3
483,chamarajanagara district,202168,15829867,2021,karnataka,Q3
484,dakshina kannada district,855634,21412918,2021,karnataka,Q3
485,hassan district,566904,34788129,2021,karnataka,Q3
486,dharwad district,818797,34415050,2021,karnataka,Q3
487,shivamogga district,566838,29165333,2021,karnataka,Q3
488,udupi district,437345,12928299,2021,karnataka,Q3
489,gadag district,259426,19051279,2021,karnataka,Q3
490,mysuru district,1332579,84514082,2021,karnataka,Q4
491,chitradurga district,447221,30870741,2021,karnataka,Q4
492,kalaburagi district,743146,50879550,2021,karnataka,Q4
493,ramanagara district,478668,38380184,2021,karnataka,Q4
494,mandya district,564725,40149943,2021,karnataka,Q4
495,kodagu district,187714,9753349,2021,karnataka,Q4
496,chikkamagaluru district,358975,20950700,2021,karnataka,Q4
497,haveri district,365257,21102930,2021,karnataka,Q4
498,ballari district,871581,62467773,2021,karnataka,Q4
499,belagavi district,1393290,78020362,2021,karnataka,Q4
500,kolar district,657607,52731050,2021,karnataka,Q4
501,uttara kannada district,422171,19025373,2021,karnataka,Q4
502,tumakuru district,909976,63705876,2021,karnataka,Q4
503,yadgir district,236490,16328222,2021,karnataka,Q4
504,bengaluru urban district,12038775,818047839,2021,karnataka,Q4
505,chikkaballapura district,459988,36037978,2021,karnataka,Q4
506,davanagere district,624570,39536906,2021,karnataka,Q4
507,bagalkote district,554099,33560109,2021,karnataka,Q4
508,vijayapura district,672340,39909595,2021,karnataka,Q4
509,koppal district,357841,27558588,2021,karnataka,Q4
510,bidar district,508686,40940770,2021,karnataka,Q4
511,bengaluru rural district,785717,67129022,2021,karnataka,Q4
512,raichur district,528246,36140668,2021,karnataka,Q4
513,chamarajanagara district,216215,13328889,2021,karnataka,Q4
