,State name,Type,Count,Amount,Year,Quater
336,haryana,TOTAL,41781050,80711264923.94525,2020,Q2
337,rajasthan,TOTAL,101954656,193763273003.28284,2020,Q2
338,ladakh,TOTAL,155010,523792998.6520228,2020,Q2
339,punjab,TOTAL,14081294,30284654252.21334,2020,Q2
340,assam,TOTAL,10505199,19766300125.91926,2020,Q2
341,jharkhand,TOTAL,20141511,37486201975.923416,2020,Q2
342,odisha,TOTAL,50028576,91733036612.10583,2020,Q2
343,bihar,TOTAL,53386742,128806523628.85287,2020,Q2
344,kerala,TOTAL,16287967,25894078478.599953,2020,Q2
345,karnataka,TOTAL,213221712,321104877020.14185,2020,Q2
346,chandigarh,TOTAL,1528010,3847015729.690074,2020,Q2
347,telangana,TOTAL,152055143,321531839352.4224,2020,Q2
348,himachal pradesh,TOTAL,4695730,8036904762.544065,2020,Q2
349,west bengal,TOTAL,57676797,100099431877.35757,2020,Q2
350,gujarat,TOTAL,47420185,80387846359.49454,2020,Q2
351,sikkim,TOTAL,517731,1054618788.2612653,2020,Q2
352,nagaland,TOTAL,517566,1137674504.3478017,2020,Q2
353,mizoram,TOTAL,198462,457193433.4423174,2020,Q2
354,chhattisgarh,TOTAL,18820925,32268382206.900894,2020,Q2
355,jammu & kashmir,TOTAL,2635006,8265648939.258666,2020,Q2
356,goa,TOTAL,1482092,2183616430.016773,2020,Q2
357,arunachal pradesh,TOTAL,808774,1826716832.9849606,2020,Q2
358,delhi,TOTAL,66042018,107873438203.33162,2020,Q2
359,uttarakhand,TOTAL,9047770,16094187702.100985,2020,Q2
360,puducherry,TOTAL,1730902,3598080229.434597,2020,Q3
361,tamil nadu,TOTAL,70277825,143841415498.65747,2020,Q3
362,uttar pradesh,TOTAL,127405259,248689955423.05322,2020,Q3
363,madhya pradesh,TOTAL,108579881,205701679984.53757,2020,Q3
364,andhra pradesh,TOTAL,204902935,467084130584.93884,2020,Q3
365,tripura,TOTAL,1317885,2341819516.215885,2020,Q3
366,lakshadweep,TOTAL,8589,21306833.308656827,2020,Q3
367,manipur,TOTAL,1420168,4615976120.870485,2020,Q3
368,maharashtra,TOTAL,268310924,440307079012.4761,2020,Q3
369,dadra & nagar haveli & daman & diu,TOTAL,1138312,1749789114.9993598,2020,Q3
370,meghalaya,TOTAL,597579,1237059001.3830369,2020,Q3
371,andaman & nicobar islands,TOTAL,117483,338019446.3303601,2020,Q3
372,haryana,TOTAL,57938179,109567950445.72871,2020,Q3
373,rajasthan,TOTAL,149088676,293678306162.4698,2020,Q3
374,ladakh,TOTAL,228222,835487500.058193,2020,Q3
375,punjab,TOTAL,17209573,40123092147.81354,2020,Q3
376,assam,TOTAL,12397711,29831391259.543846,2020,Q3
377,jharkhand,TOTAL,27068473,50622615820.01348,2020,Q3
378,odisha,TOTAL,66033829,122463943804.29193,2020,Q3
379,bihar,TOTAL,71503748,173328865111.8144,2020,Q3
380,kerala,TOTAL,21758680,40164150651.95372,2020,Q3
381,karnataka,TOTAL,300360531,470740515696.6945,2020,Q3
382,chandigarh,TOTAL,2158086,5089809353.36507,2020,Q3
383,telangana,TOTAL,236372126,505961144755.88367,2020,Q3
384,himachal pradesh,TOTAL,5489876,10516054014.086905,2020,Q3
385,west bengal,TOTAL,79954504,156813355855.1383,2020,Q3
386,gujarat,TOTAL,59290179,111921752484.70932,2020,Q3
387,sikkim,TOTAL,596435,1400926728.6603994,2020,Q3
388,nagaland,TOTAL,736319,2009649143.1547942,2020,Q3
389,mizoram,TOTAL,254703,707944175.5046022,2020,Q3
390,chhattisgarh,TOTAL,24148539,41526744807.53401,2020,Q3
391,jammu & kashmir,TOTAL,3465898,11977229760.872362,2020,Q3
392,goa,TOTAL,1915531,3368343580.9446573,2020,Q3
393,arunachal pradesh,TOTAL,962827,2609938565.55822,2020,Q3
394,delhi,TOTAL,96491861,175163962804.6604,2020,Q3
395,uttarakhand,TOTAL,11818935,22103510968.006454,2020,Q3
396,puducherry,TOTAL,2716003,4930526217.671207,2020,Q4
397,tamil nadu,TOTAL,111179701,206473197500.99268,2020,Q4
398,uttar pradesh,TOTAL,178167517,357428826778.2578,2020,Q4
399,madhya pradesh,TOTAL,153652541,284275139772.3589,2020,Q4
400,andhra pradesh,TOTAL,286118552,654841546033.3186,2020,Q4
401,tripura,TOTAL,1651890,3182130996.2213116,2020,Q4
402,lakshadweep,TOTAL,11650,30111317.917080387,2020,Q4
403,manipur,TOTAL,1627852,5602224558.458768,2020,Q4
404,maharashtra,TOTAL,407621004,622155530832.2585,2020,Q4
405,dadra & nagar haveli & daman & diu,TOTAL,1817791,2700511100.828503,2020,Q4
406,meghalaya,TOTAL,754008,1804242572.1989727,2020,Q4
407,andaman & nicobar islands,TOTAL,224531,627282656.3148524,2020,Q4
408,haryana,TOTAL,83171439,159998504366.53964,2020,Q4
409,rajasthan,TOTAL,190283435,386034779836.48376,2020,Q4
410,ladakh,TOTAL,332134,1111963470.5079594,2020,Q4
411,punjab,TOTAL,22997925,53775406479.553894,2020,Q4
412,assam,TOTAL,15423454,40226611319.263756,2020,Q4
413,jharkhand,TOTAL,39431633,72805174830.04245,2020,Q4
414,odisha,TOTAL,92324950,178302663014.6175,2020,Q4
415,bihar,TOTAL,96591673,238905613136.47186,2020,Q4
416,kerala,TOTAL,33288187,56755256647.011795,2020,Q4
417,karnataka,TOTAL,431536984,658036698565.0032,2020,Q4
418,chandigarh,TOTAL,2912716,6146762901.349345,2020,Q4
419,telangana,TOTAL,343643787,696350439226.9453,2020,Q4
420,himachal pradesh,TOTAL,7272328,13989053108.813015,2020,Q4
421,west bengal,TOTAL,100340645,199165491365.6468,2020,Q4
